Gene	Cytoband	Altered group	Unaltered group	Altered group	Unaltered group	Log Ratio	p-Value	q-Value	Higher expression in
CLSTN3	12p13.31	10.53	9.08	0.69	1.40	1.46	8.31e-16	2.23e-14	Altered group
ANXA2R	5p12	7.25	5.08	0.97	1.06	2.17	8.79e-16	2.36e-14	Altered group
GBP2	1p22.2	12.28	10.21	0.96	1.64	2.07	9.11e-16	2.44e-14	Altered group
IL18RAP	2q12.1	5.40	2.68	1.23	1.57	2.72	9.19e-16	2.46e-14	Altered group
ST6GAL1	3q27.3	12.22	10.95	0.60	1.26	1.28	9.28e-16	2.48e-14	Altered group
XCL2	1q24.2	5.96	3.12	1.31	2.00	2.84	9.74e-16	2.60e-14	Altered group
RORA	15q22.2	8.30	6.53	0.83	1.39	1.77	1.04e-15	2.78e-14	Altered group
HOPX	4q12	7.50	5.42	0.99	1.98	2.08	1.10e-15	2.93e-14	Altered group
SNAI3	16q24.2	6.30	4.09	0.99	1.13	2.21	1.19e-15	3.15e-14	Altered group
MS4A4A	11q12.2	9.23	7.18	0.95	1.46	2.05	1.21e-15	3.21e-14	Altered group
ZNF80	3q13.31	4.94	1.82	1.40	1.50	3.12	1.23e-15	3.27e-14	Altered group
LRRC25	19p13.11	8.89	6.99	0.88	1.40	1.90	1.24e-15	3.29e-14	Altered group
CARD16	11q22.3	8.94	7.56	0.65	1.95	1.38	1.24e-15	3.29e-14	Altered group
SFMBT2	10p14	7.32	5.62	0.81	1.54	1.70	1.28e-15	3.37e-14	Altered group
SMCO4	11q21	8.47	6.73	0.80	1.12	1.74	1.30e-15	3.44e-14	Altered group
TOX2	20q13.12	8.37	5.80	1.19	1.82	2.57	1.31e-15	3.44e-14	Altered group
ITGAX	16p11.2	10.54	8.59	0.90	1.30	1.95	1.33e-15	3.49e-14	Altered group
CNOT6L	4q21.1	10.47	9.32	0.53	0.73	1.15	1.39e-15	3.63e-14	Altered group
MIA2	14q13.2	9.02	8.26	0.37	0.79	0.76	1.40e-15	3.66e-14	Altered group
C1RL-AS1	12p13.31	6.25	3.90	1.09	1.50	2.35	1.40e-15	3.66e-14	Altered group
NXPE3	3q12.3	9.72	8.55	0.56	1.08	1.17	1.41e-15	3.69e-14	Altered group
XCR1	3p21.31	4.09	1.52	1.16	1.31	2.58	1.42e-15	3.70e-14	Altered group
PARM1	4q13.3	9.09	6.81	1.05	1.43	2.28	1.43e-15	3.71e-14	Altered group
KLRG1	12p13.31	6.46	4.51	0.89	1.07	1.95	1.44e-15	3.75e-14	Altered group
TNIP3	4q27	5.05	2.29	1.27	1.70	2.77	1.49e-15	3.88e-14	Altered group
PSMB9	6p21.32	11.02	9.32	0.81	1.56	1.70	1.51e-15	3.91e-14	Altered group
SLC35F2	11q22.3	8.20	6.86	0.64	1.78	1.34	1.53e-15	3.95e-14	Altered group
TNF	6p21.33	5.97	3.46	1.16	1.62	2.51	1.62e-15	4.18e-14	Altered group
KCNMA1	10q22.3	8.76	6.51	1.07	2.02	2.25	1.74e-15	4.49e-14	Altered group
GPSM3	6p21.32	11.35	10.12	0.58	0.97	1.24	1.75e-15	4.50e-14	Altered group
PLA2G7	6p12.3	8.97	6.38	1.21	1.79	2.59	1.75e-15	4.50e-14	Altered group
CCL5	17q12	12.15	9.06	1.44	2.09	3.09	1.77e-15	4.56e-14	Altered group
TXNIP	1q21.1	13.60	12.13	0.69	1.04	1.47	1.84e-15	4.72e-14	Altered group
GAPT	5q11.2	7.20	3.87	1.51	1.63	3.32	1.84e-15	4.72e-14	Altered group
SLC4A8	12q13.13	6.08	4.24	0.88	1.56	1.85	1.95e-15	5.00e-14	Altered group
UBE2E2	3p24.3	8.41	7.46	0.46	1.24	0.96	2.16e-15	5.53e-14	Altered group
GCSAM	3q13.2	7.04	3.79	1.47	1.44	3.25	2.17e-15	5.53e-14	Altered group
DNAJC5B	8q13.1	5.93	2.88	1.41	1.79	3.04	2.25e-15	5.73e-14	Altered group
DSE	6q22.1	9.45	8.27	0.56	0.83	1.18	2.32e-15	5.92e-14	Altered group
RNASEH2B	13q14.3	9.32	8.52	0.39	0.74	0.80	2.60e-15	6.62e-14	Altered group
IL16	15q25.1	11.42	9.67	0.83	1.29	1.75	2.67e-15	6.79e-14	Altered group
LGI2	4p15.2	7.54	5.46	0.99	1.60	2.08	2.72e-15	6.91e-14	Altered group
AKAP13	15q25.3	11.94	11.11	0.40	0.66	0.83	2.80e-15	7.10e-14	Altered group
SYTL1	1p36.11	8.88	5.78	1.45	1.84	3.10	2.84e-15	7.20e-14	Altered group
FLVCR2	14q24.3	7.90	6.51	0.67	1.19	1.40	2.85e-15	7.21e-14	Altered group
TBXAS1	7q34	9.50	7.76	0.84	1.60	1.74	2.94e-15	7.42e-14	Altered group
SP110	2q37.1	10.02	9.02	0.48	0.84	1.00	2.98e-15	7.51e-14	Altered group
EVL	14q32.2	11.61	9.66	0.91	1.11	1.95	3.18e-15	8.02e-14	Altered group
DAZAP2	12q13.13	12.62	12.09	0.26	0.49	0.53	3.20e-15	8.05e-14	Altered group
DERL3	22q11.23	9.83	6.96	1.35	1.74	2.87	3.23e-15	8.11e-14	Altered group
ANOS1	Xp22.31	7.33	5.37	0.95	1.82	1.96	3.30e-15	8.28e-14	Altered group
HLA-B	6p21.33	16.39	14.72	0.82	1.62	1.68	3.44e-15	8.63e-14	Altered group
FKBP5	6p21.31	11.12	9.62	0.73	1.65	1.50	3.57e-15	8.93e-14	Altered group
ZNF671	19q13.43	7.65	6.39	0.62	1.33	1.26	3.84e-15	9.61e-14	Altered group
GPR68	14q32.11	8.21	6.19	0.98	1.63	2.02	3.86e-15	9.63e-14	Altered group
DGKE	17q22	7.11	5.25	0.88	1.13	1.86	4.02e-15	1.00e-13	Altered group
TRIM14	9q22.33	10.38	9.22	0.56	0.96	1.15	4.14e-15	1.03e-13	Altered group
FILIP1L	3q12.1	9.41	7.24	1.02	1.26	2.17	4.19e-15	1.04e-13	Altered group
TTC22	1p32.3	3.91	1.70	1.08	1.85	2.21	4.22e-15	1.05e-13	Altered group
PVRIG	7q22.1	8.57	5.90	1.24	1.32	2.67	4.35e-15	1.08e-13	Altered group
PDCD1	2q37.3	8.73	5.31	1.64	2.40	3.43	4.52e-15	1.12e-13	Altered group
ARRB2	17p13.2	10.71	9.40	0.62	0.75	1.31	4.56e-15	1.13e-13	Altered group
ENPP6	4q35.1	3.56	1.74	0.89	1.58	1.82	4.69e-15	1.16e-13	Altered group
EID3	12q23.3	5.71	4.15	0.76	1.43	1.56	4.96e-15	1.22e-13	Altered group
CCL2	17q12	10.43	8.37	1.00	1.56	2.06	5.12e-15	1.26e-13	Altered group
PDPN	1p36.21	8.64	6.42	1.08	1.87	2.22	5.29e-15	1.30e-13	Altered group
PTGS1	9q33.2	8.91	7.33	0.78	1.59	1.58	5.34e-15	1.31e-13	Altered group
BLK	8p23.1	7.77	3.10	2.19	2.28	4.67	5.42e-15	1.33e-13	Altered group
SP100	2q37.1	11.31	10.36	0.47	0.84	0.95	5.53e-15	1.36e-13	Altered group
TUT7	9q21.33	9.60	8.73	0.43	0.87	0.86	5.78e-15	1.42e-13	Altered group
CCNI2	5q31.1	4.22	2.15	0.97	1.05	2.07	5.87e-15	1.44e-13	Altered group
SMAD7	18q21.1	9.01	8.01	0.49	0.92	1.00	5.97e-15	1.46e-13	Altered group
MS4A14	11q12.2	6.02	4.17	0.89	1.33	1.85	6.05e-15	1.48e-13	Altered group
IQGAP2	5q13.3	9.87	8.22	0.82	1.73	1.65	6.08e-15	1.48e-13	Altered group
NCOA3	20q13.12	10.90	9.91	0.47	0.65	0.98	6.16e-15	1.50e-13	Altered group
GPR55	2q37.1	5.97	3.86	1.03	1.71	2.11	6.25e-15	1.52e-13	Altered group
LRRK1	15q26.3	9.62	8.16	0.72	1.19	1.46	6.30e-15	1.53e-13	Altered group
FAM117A	17q21.33	9.15	8.01	0.55	0.79	1.13	6.39e-15	1.55e-13	Altered group
ICOSLG	21q22.3	8.66	6.95	0.84	1.44	1.71	6.44e-15	1.56e-13	Altered group
HID1	17q25.1	7.92	5.79	1.03	1.46	2.13	6.72e-15	1.63e-13	Altered group
CD302	2q24.2	9.45	8.44	0.50	1.28	1.01	7.17e-15	1.74e-13	Altered group
TMEM71	8q24.22	6.60	4.50	1.03	1.66	2.10	7.28e-15	1.76e-13	Altered group
TRAF3	14q32.32	8.80	7.97	0.41	0.62	0.83	7.36e-15	1.78e-13	Altered group
TLR9	3p21.2	7.42	4.44	1.41	1.48	2.98	7.69e-15	1.85e-13	Altered group
TVP23A	16p13.13	5.66	3.64	0.97	1.21	2.02	7.79e-15	1.88e-13	Altered group
TSPAN32	11p15.5	6.44	3.60	1.36	1.67	2.84	7.81e-15	1.88e-13	Altered group
TNFSF11	13q14	6.27	2.83	1.64	1.92	3.43	7.91e-15	1.90e-13	Altered group
ZNRF2	7p14.3	8.67	7.70	0.47	0.79	0.96	8.01e-15	1.92e-13	Altered group
CD7	17q25.3	9.92	6.65	1.59	2.26	3.27	8.21e-15	1.97e-13	Altered group
CCL22	16q21	7.19	4.37	1.38	2.02	2.82	8.23e-15	1.97e-13	Altered group
KLHL5	4p14	9.51	8.65	0.43	0.90	0.86	8.38e-15	2.00e-13	Altered group
ANXA7	10q22.2	11.08	10.42	0.33	0.55	0.67	8.43e-15	2.01e-13	Altered group
PRF1	10q22.1	10.30	7.33	1.45	2.16	2.97	8.63e-15	2.06e-13	Altered group
BMS1P20	22q11.22	16.41	12.33	1.98	2.61	4.09	8.78e-15	2.09e-13	Altered group
C4A	6p21.33	11.82	9.69	1.06	1.86	2.13	8.85e-15	2.11e-13	Altered group
DGLUCY	14q32.11	9.48	8.72	0.38	0.75	0.76	9.08e-15	2.16e-13	Altered group
ABAT	16p13.2	7.74	6.36	0.69	1.56	1.38	9.09e-15	2.16e-13	Altered group
TTC9	14q24.2	7.80	4.90	1.39	1.59	2.90	9.46e-15	2.24e-13	Altered group
SIGLEC1	20p13	10.28	8.16	1.04	1.61	2.12	9.86e-15	2.33e-13	Altered group
DAPK2	15q22.31	7.13	5.25	0.92	1.32	1.88	9.95e-15	2.35e-13	Altered group
NMRK1	9q21.13	8.44	7.50	0.47	0.87	0.95	1.02e-14	2.40e-13	Altered group
SERPINA1	14q32.13	11.04	8.87	1.08	1.95	2.17	1.02e-14	2.40e-13	Altered group
SPATC1	8q24.3	3.47	1.44	0.97	0.98	2.03	1.04e-14	2.44e-13	Altered group
MBD2	18q21.2	10.86	9.97	0.43	0.52	0.89	1.07e-14	2.52e-13	Altered group
CRIP1	14q32.33	9.82	7.99	0.91	1.59	1.83	1.13e-14	2.66e-13	Altered group
CLEC4E	12p13.31	6.86	3.93	1.44	2.01	2.93	1.23e-14	2.88e-13	Altered group
DRAM1	12q23.2	10.26	9.02	0.62	0.94	1.25	1.24e-14	2.90e-13	Altered group
IL18BP	11q13.4	10.28	8.47	0.90	1.39	1.81	1.24e-14	2.91e-13	Altered group
C1R	12p13.31	12.67	11.02	0.83	1.47	1.65	1.25e-14	2.92e-13	Altered group
SLC12A3	16q13	4.29	1.50	1.33	1.21	2.79	1.28e-14	2.98e-13	Altered group
CRLF3	17q11.2	9.43	8.10	0.64	0.74	1.32	1.31e-14	3.06e-13	Altered group
ID2	2p25.1	9.89	8.64	0.63	1.12	1.25	1.31e-14	3.06e-13	Altered group
DRAM2	1p13.3	10.16	9.39	0.38	0.59	0.77	1.43e-14	3.32e-13	Altered group
ADAP2	17q11.2	9.16	7.52	0.82	1.25	1.64	1.47e-14	3.41e-13	Altered group
C1QA	1p36.12	13.49	11.19	1.15	1.73	2.31	1.51e-14	3.50e-13	Altered group
UBE2J1	6q15	11.62	10.51	0.55	0.64	1.12	1.52e-14	3.53e-13	Altered group
SLC25A53	Xq22.2	5.89	3.97	0.95	1.19	1.93	1.53e-14	3.55e-13	Altered group
PARP14	3q21.1	11.94	10.56	0.70	1.18	1.38	1.59e-14	3.68e-13	Altered group
TPRG1	3q28	4.17	2.72	0.74	1.57	1.45	1.61e-14	3.72e-13	Altered group
AQP3	9p13.3	8.74	6.71	1.03	2.50	2.03	1.61e-14	3.72e-13	Altered group
PCGF5	10q23.32	10.28	9.35	0.47	0.83	0.93	1.63e-14	3.77e-13	Altered group
IRAK2	3p25.3	7.59	5.92	0.84	1.34	1.67	1.64e-14	3.77e-13	Altered group
CTSH	15q25.1	12.30	11.04	0.64	1.15	1.26	1.67e-14	3.83e-13	Altered group
PDE6G	17q25.3	6.53	4.65	0.95	1.86	1.88	1.69e-14	3.88e-13	Altered group
P2RY6	11q13.4	7.71	5.90	0.91	1.42	1.81	1.69e-14	3.88e-13	Altered group
SGPP1	14q23.2	9.28	8.35	0.47	0.79	0.93	1.71e-14	3.92e-13	Altered group
HSF5	17q22	3.59	0.98	1.24	0.89	2.61	1.71e-14	3.92e-13	Altered group
IL33	9p24.1	9.29	6.39	1.45	2.10	2.90	1.72e-14	3.93e-13	Altered group
CHI3L2	1p13.2	8.13	5.45	1.36	2.30	2.69	1.77e-14	4.04e-13	Altered group
ATF7IP2	16p13.2-p13.13	7.22	5.32	0.96	1.91	1.89	1.77e-14	4.05e-13	Altered group
CALML4	15q23	8.11	7.36	0.38	0.68	0.74	1.79e-14	4.07e-13	Altered group
NR1H3	11p11.2	10.29	8.72	0.77	0.96	1.57	1.89e-14	4.31e-13	Altered group
ZBTB2	6q25.1	9.10	8.42	0.34	0.53	0.68	2.02e-14	4.60e-13	Altered group
GBP4	1p22.2	11.97	9.19	1.40	2.20	2.78	2.05e-14	4.67e-13	Altered group
DDX58	9p21.1	9.31	8.05	0.64	1.28	1.26	2.19e-14	4.96e-13	Altered group
SPI1	11p11.2	10.74	8.62	1.06	1.45	2.12	2.23e-14	5.05e-13	Altered group
TXK	4p12	6.24	3.57	1.32	1.56	2.67	2.35e-14	5.31e-13	Altered group
LYSMD2	15q21.2	8.57	7.50	0.54	0.91	1.06	2.47e-14	5.58e-13	Altered group
LDLRAD4	18p11.21	8.93	7.39	0.79	1.56	1.54	2.48e-14	5.60e-13	Altered group
EPHB2	1p36.12	8.35	6.53	0.93	1.48	1.82	2.66e-14	6.01e-13	Altered group
GTSF1L	20q13.12	3.09	0.90	1.07	1.00	2.19	2.67e-14	6.02e-13	Altered group
CSGALNACT2	10q11.21	9.47	8.58	0.46	0.86	0.89	2.72e-14	6.13e-13	Altered group
ZNF154	19q13.43	5.80	3.71	1.05	1.42	2.08	2.73e-14	6.13e-13	Altered group
PAOX	10q26.3	7.23	6.01	0.63	1.04	1.22	2.82e-14	6.33e-13	Altered group
SIGLEC9	19q13.3-q13.4	7.21	5.32	0.96	1.45	1.89	2.89e-14	6.48e-13	Altered group
NKG7	19q13.41	10.20	7.03	1.61	2.38	3.17	3.04e-14	6.82e-13	Altered group
TMEM106A	17q21.31	8.13	7.20	0.48	1.02	0.93	3.05e-14	6.84e-13	Altered group
RPS6KA1	1p36.11	10.93	9.75	0.60	0.93	1.18	3.09e-14	6.91e-13	Altered group
PTGFR	1p31.1	6.12	3.81	1.18	1.90	2.31	3.16e-14	7.06e-13	Altered group
CASP8	2q33.1	9.62	8.60	0.53	0.87	1.03	3.22e-14	7.19e-13	Altered group
YPEL5	2p23.1	10.88	10.27	0.32	0.58	0.61	3.23e-14	7.21e-13	Altered group
ZFAND4	10q11.22	7.00	5.80	0.62	1.03	1.20	3.39e-14	7.54e-13	Altered group
SMAP2	1p34.2	11.60	10.25	0.67	0.62	1.35	3.42e-14	7.60e-13	Altered group
C1QB	1p36.12	13.61	11.25	1.20	1.83	2.36	3.43e-14	7.62e-13	Altered group
C1QC	1p36.12	13.37	11.16	1.13	1.68	2.21	3.58e-14	7.94e-13	Altered group
ANKRD29	18q11.2	6.50	4.03	1.24	1.55	2.47	3.62e-14	8.01e-13	Altered group
VNN1	6q23.2	6.48	3.90	1.29	1.49	2.57	3.79e-14	8.39e-13	Altered group
ZDHHC2	8p22	8.55	7.17	0.72	1.89	1.39	3.79e-14	8.39e-13	Altered group
SLC1A3	5p13.2	9.52	7.60	0.99	1.65	1.92	3.81e-14	8.41e-13	Altered group
C3AR1	12p13.31	9.56	7.61	0.99	1.38	1.95	3.82e-14	8.43e-13	Altered group
TNFRSF10A	8p21.3	6.33	4.43	0.98	1.85	1.89	3.97e-14	8.75e-13	Altered group
ABCG1	21q22.3	9.53	7.84	0.87	1.46	1.69	4.13e-14	9.10e-13	Altered group
CASP3	4q35.1	9.86	9.13	0.38	0.69	0.73	4.52e-14	9.93e-13	Altered group
APOL6	22q12.3	11.77	10.05	0.89	1.45	1.72	4.62e-14	1.01e-12	Altered group
LPAR1	9q31.3	8.46	6.21	1.17	2.19	2.25	4.69e-14	1.03e-12	Altered group
TEP1	14q11.2	10.30	9.50	0.41	0.60	0.80	4.77e-14	1.04e-12	Altered group
OCIAD2	4p11	8.04	6.35	0.88	2.10	1.68	5.13e-14	1.12e-12	Altered group
LRRK2	12q12	9.27	7.58	0.89	1.85	1.69	5.23e-14	1.14e-12	Altered group
CD1C	1q23.1	6.85	3.58	1.66	1.87	3.27	5.31e-14	1.16e-12	Altered group
SIGLEC6	19q13.41	3.64	1.04	1.30	1.05	2.61	5.38e-14	1.17e-12	Altered group
SLC41A2	12q23.3	7.16	6.06	0.58	1.27	1.10	5.38e-14	1.17e-12	Altered group
FCHO1	19p13.11	8.46	5.95	1.28	1.67	2.51	5.40e-14	1.18e-12	Altered group
LINC02908	9q34.3	4.31	1.83	1.25	1.16	2.48	5.73e-14	1.25e-12	Altered group
SDR42E1	16q23.3	4.55	2.58	1.03	2.00	1.97	5.93e-14	1.29e-12	Altered group
TMEM37	2q14.2	7.59	5.87	0.89	1.27	1.72	6.38e-14	1.38e-12	Altered group
IL3RA	Xp22.3 and Yp13.3	8.30	6.36	0.99	1.10	1.94	6.74e-14	1.46e-12	Altered group
EPB41	1p35.3	10.82	9.77	0.55	0.91	1.05	6.76e-14	1.46e-12	Altered group
XCL1	1q24.2	5.32	2.91	1.25	1.84	2.41	6.98e-14	1.51e-12	Altered group
SPNS3	17p13.2	5.18	2.27	1.48	1.52	2.92	6.98e-14	1.51e-12	Altered group
CCDC88B	11q13.1	10.24	7.67	1.30	1.27	2.56	7.03e-14	1.52e-12	Altered group
GJD3	17q21.2	7.15	5.50	0.86	1.25	1.65	7.19e-14	1.55e-12	Altered group
TINF2	14q12	10.37	9.91	0.24	0.47	0.46	7.26e-14	1.56e-12	Altered group
APOBEC3H	22q13.1	5.51	3.41	1.09	1.54	2.11	7.28e-14	1.57e-12	Altered group
IL27RA	19p13.12	9.84	8.18	0.87	1.59	1.66	7.53e-14	1.62e-12	Altered group
PDE7A	8q13.1	9.88	8.21	0.85	0.87	1.67	7.54e-14	1.62e-12	Altered group
ITM2B	13q14.2	13.45	12.72	0.38	0.82	0.73	7.55e-14	1.62e-12	Altered group
MAN1C1	1p36.11	9.26	8.01	0.66	1.30	1.24	7.55e-14	1.62e-12	Altered group
SLC27A2	15q21.2	5.25	2.77	1.29	1.77	2.48	7.93e-14	1.69e-12	Altered group
TGM2	20q11.23	11.78	10.24	0.82	1.49	1.54	7.95e-14	1.70e-12	Altered group
CEBPA	19q13.11	9.57	7.56	1.05	1.58	2.01	8.02e-14	1.71e-12	Altered group
GSAP	7q11.23	9.05	7.52	0.81	1.57	1.52	8.03e-14	1.71e-12	Altered group
SH2D3C	9q34.11	9.60	7.66	0.99	1.05	1.94	8.03e-14	1.71e-12	Altered group
PARP12	7q34	10.29	9.03	0.67	1.34	1.27	8.33e-14	1.77e-12	Altered group
ELL2	5q15	10.13	8.76	0.72	1.11	1.37	8.43e-14	1.79e-12	Altered group
PREX1	20q13.13	11.80	10.72	0.57	1.26	1.08	8.51e-14	1.81e-12	Altered group
CACNB4	2q23.3	4.75	3.24	0.80	1.50	1.51	8.60e-14	1.82e-12	Altered group
RAB8B	15q22.2	10.64	9.47	0.61	0.84	1.16	8.84e-14	1.87e-12	Altered group
LRIG1	3p14.1	9.41	7.68	0.91	1.43	1.73	8.91e-14	1.88e-12	Altered group
ITGAD	16p11.2	5.86	2.70	1.63	1.88	3.16	8.91e-14	1.88e-12	Altered group
SUCNR1	3q25.1	4.56	2.44	1.11	1.58	2.12	8.96e-14	1.89e-12	Altered group
ANK1	8p11.21	5.65	3.60	1.08	1.63	2.05	9.49e-14	2.00e-12	Altered group
RASGRP2	11q13.1	9.03	5.32	1.90	1.70	3.72	1.01e-13	2.12e-12	Altered group
OTUD1	10p12.2	8.68	7.89	0.42	0.69	0.80	1.05e-13	2.20e-12	Altered group
GRB2	17q25.1	12.29	11.67	0.33	0.41	0.63	1.06e-13	2.23e-12	Altered group
HLA-DRB5	6p21.32	12.46	9.83	1.38	1.95	2.62	1.08e-13	2.26e-12	Altered group
BICDL1	12q24.23	8.75	6.69	1.10	1.96	2.06	1.17e-13	2.46e-12	Altered group
FCMR	1q32.1	10.68	8.10	1.36	2.03	2.58	1.19e-13	2.50e-12	Altered group
VPREB3	22q11.23	7.03	3.01	2.07	1.99	4.02	1.21e-13	2.52e-12	Altered group
AKAP5	14q23.3	7.65	4.96	1.40	1.64	2.69	1.24e-13	2.59e-12	Altered group
TOR4A	9q34.3	8.49	7.15	0.72	1.47	1.35	1.28e-13	2.67e-12	Altered group
PPP3CC	8p21.3	9.12	8.46	0.35	0.63	0.65	1.49e-13	3.09e-12	Altered group
NEXN	1p31.1	7.16	5.32	0.98	1.48	1.83	1.49e-13	3.10e-12	Altered group
FCRL1	1q23.1	6.78	2.01	2.46	2.06	4.77	1.54e-13	3.20e-12	Altered group
CAB39	2q37.1	11.07	10.42	0.35	0.68	0.65	1.54e-13	3.20e-12	Altered group
LAYN	11q23.1	7.30	5.75	0.83	1.61	1.54	1.56e-13	3.23e-12	Altered group
IL7	8q21.13	6.08	3.89	1.16	1.59	2.19	1.56e-13	3.24e-12	Altered group
RUBCNL	13q14.13	9.02	7.43	0.86	1.77	1.59	1.57e-13	3.26e-12	Altered group
TLE4	9q21.31	8.84	7.53	0.70	1.78	1.31	1.63e-13	3.37e-12	Altered group
CCR6	6q27	7.48	4.06	1.77	1.52	3.41	1.64e-13	3.38e-12	Altered group
JAKMIP2	5q32	5.09	3.20	1.02	2.34	1.89	1.66e-13	3.42e-12	Altered group
SATB1	3p24.3	9.75	8.29	0.79	1.89	1.46	1.68e-13	3.46e-12	Altered group
CR2	1q32.2	9.17	2.88	3.28	3.19	6.29	1.70e-13	3.49e-12	Altered group
TMCC3	12q22	8.20	6.91	0.69	1.28	1.28	1.76e-13	3.62e-12	Altered group
TCAF2	7q35	8.76	7.13	0.88	1.41	1.63	1.76e-13	3.62e-12	Altered group
MRC1	10p12.33	9.47	7.20	1.21	1.78	2.26	1.79e-13	3.67e-12	Altered group
CDKN1B	12p13.1	10.49	9.73	0.41	0.61	0.77	1.85e-13	3.79e-12	Altered group
IL12B	5q33.3	3.17	1.02	1.12	0.96	2.15	1.87e-13	3.82e-12	Altered group
ATP1A3	19q13.2	6.76	4.42	1.27	2.37	2.34	1.88e-13	3.85e-12	Altered group
P2RX5	17p13.2	8.44	5.68	1.44	1.36	2.76	2.01e-13	4.11e-12	Altered group
ANKRD22	10q23.31	8.32	5.47	1.53	2.31	2.85	2.06e-13	4.20e-12	Altered group
SAMD9	7q21.2	10.04	8.66	0.75	1.43	1.38	2.06e-13	4.21e-12	Altered group
RIPOR2	6p22.3	10.37	8.21	1.17	1.93	2.16	2.15e-13	4.38e-12	Altered group
TRAF1	9q33.2	10.81	9.06	0.95	1.73	1.75	2.22e-13	4.51e-12	Altered group
GSDMB	17q21.1	6.52	4.40	1.13	1.45	2.12	2.22e-13	4.51e-12	Altered group
ASPHD2	22q12.1	8.06	6.94	0.61	0.92	1.12	2.23e-13	4.53e-12	Altered group
PIWIL4	11q21	5.78	4.06	0.93	1.35	1.72	2.23e-13	4.53e-12	Altered group
IDO2	8p11.21	3.40	1.05	1.23	1.05	2.35	2.26e-13	4.58e-12	Altered group
RASSF6	4q13.3	4.18	1.39	1.47	1.38	2.79	2.33e-13	4.72e-12	Altered group
ABHD3	18q11.2	8.76	7.84	0.50	0.75	0.92	2.35e-13	4.74e-12	Altered group
RAB19	7q34	2.02	0.46	0.81	0.57	1.56	2.37e-13	4.79e-12	Altered group
BTBD11	12q23.3	6.10	4.22	1.03	1.84	1.88	2.39e-13	4.83e-12	Altered group
DSC2	18q12.1	7.19	5.61	0.85	2.27	1.58	2.42e-13	4.87e-12	Altered group
C10ORF105	10q22.1	4.49	2.30	1.16	1.26	2.19	2.42e-13	4.87e-12	Altered group
GPRIN3	4q22.1	8.34	6.79	0.85	1.83	1.55	2.43e-13	4.88e-12	Altered group
CLEC2D	12p13.31	10.53	9.04	0.79	0.77	1.50	2.45e-13	4.91e-12	Altered group
PHACTR2	6q24.2	9.10	8.01	0.60	1.38	1.10	2.50e-13	5.01e-12	Altered group
TRIM21	11p15.4	9.58	8.73	0.47	0.90	0.85	2.53e-13	5.07e-12	Altered group
CTSC	11q14.2	12.68	11.34	0.72	0.90	1.34	2.55e-13	5.11e-12	Altered group
SH2D1B	1q23.3	4.89	2.71	1.18	1.71	2.19	2.64e-13	5.29e-12	Altered group
ZNF267	16p11.2	9.08	7.78	0.70	0.91	1.30	2.66e-13	5.33e-12	Altered group
RRN3P2	16p11.2	5.31	3.59	0.93	1.33	1.72	2.68e-13	5.35e-12	Altered group
BTN3A3	6p22.2	10.53	9.25	0.70	1.13	1.28	2.72e-13	5.43e-12	Altered group
STK4	20q13.12	11.17	10.29	0.47	0.56	0.88	2.73e-13	5.45e-12	Altered group
EOMES	3p24.1	8.36	6.31	1.12	1.79	2.04	2.94e-13	5.86e-12	Altered group
LXN	3q25.32	8.53	7.27	0.70	1.51	1.27	2.99e-13	5.94e-12	Altered group
STK17A	7p13	10.44	9.17	0.69	1.04	1.27	3.09e-13	6.12e-12	Altered group
SPCS3	4q34.2	11.80	11.06	0.41	0.69	0.75	3.09e-13	6.12e-12	Altered group
NDST2	10q22.2	9.51	8.85	0.36	0.50	0.66	3.15e-13	6.22e-12	Altered group
CCR1	3p21.31	9.43	7.58	1.01	1.42	1.85	3.33e-13	6.58e-12	Altered group
HK3	5q35.2	8.47	6.33	1.16	1.73	2.13	3.41e-13	6.73e-12	Altered group
ANTXR2	4q21.21	9.84	8.40	0.79	1.37	1.44	3.62e-13	7.14e-12	Altered group
LRRC4C	11p12	4.48	2.34	1.17	1.61	2.14	3.75e-13	7.38e-12	Altered group
IFNG	12q15	5.99	2.70	1.78	2.17	3.29	3.85e-13	7.58e-12	Altered group
CLIC6	21q22.12	6.07	4.33	0.96	1.74	1.74	3.94e-13	7.75e-12	Altered group
RTP5	2q37.3	4.28	1.45	1.51	1.39	2.83	3.96e-13	7.77e-12	Altered group
COL4A3	2q36.3	5.51	2.14	1.80	1.67	3.37	4.06e-13	7.96e-12	Altered group
ARID3B	15q24.1	7.82	6.82	0.56	0.97	1.01	4.44e-13	8.70e-12	Altered group
VWA5A	11q24.2	8.62	7.25	0.76	1.49	1.37	4.54e-13	8.88e-12	Altered group
ARNTL2	12p11.23	6.12	4.21	1.06	2.14	1.91	4.63e-13	9.05e-12	Altered group
LAG3	12p13.31	9.85	6.79	1.69	2.45	3.06	4.70e-13	9.18e-12	Altered group
TLR2	4q31.3	9.23	7.62	0.89	1.47	1.61	4.90e-13	9.55e-12	Altered group
VEGFC	4q34.3	7.74	6.05	0.92	1.14	1.69	4.97e-13	9.68e-12	Altered group
NME8	7p14.1	3.15	1.21	1.06	1.26	1.94	5.01e-13	9.76e-12	Altered group
PPP3CB	10q22.2	10.02	9.45	0.32	0.62	0.57	5.15e-13	1.00e-11	Altered group
