Gene	Cytoband	Altered group	Unaltered group	Altered group	Unaltered group	Log Ratio	p-Value	q-Value	Higher expression in
CDH2	18q12.1	11.45	11.32	0.54	0.49	0.13	0.0728	0.120	Altered group
SUMO4	6q25.1	0.72	0.59	0.53	0.52	0.13	0.0729	0.120	Altered group
GNAQ	9q21.2	11.31	11.22	0.38	0.44	0.09	0.0732	0.121	Altered group
ADH1A	4q23	0.36	0.25	0.46	0.45	0.11	0.0734	0.121	Altered group
ALX4	11p11.2	1.49	1.13	1.59	1.12	0.36	0.0734	0.121	Altered group
ZNF362	1p35.1	10.03	9.92	0.46	0.43	0.11	0.0735	0.121	Altered group
LMNA	1q22	10.87	10.67	0.87	0.74	0.20	0.0735	0.121	Altered group
CPXCR1	Xq21.31	0.23	0.07	0.70	0.35	0.16	0.0735	0.121	Altered group
EPHB4	7q22.1	8.55	8.38	0.72	0.76	0.17	0.0736	0.121	Altered group
PTPN9	15q24.2	9.76	9.62	0.57	0.54	0.13	0.0737	0.122	Altered group
FSD1L	9q31.2	8.07	7.83	1.00	0.86	0.23	0.0737	0.122	Altered group
HOXC11	12q13.13	0.91	0.54	1.60	1.52	0.38	0.0738	0.122	Altered group
WDR83OS	19p13.13	10.65	10.54	0.45	0.41	0.11	0.0739	0.122	Altered group
CC2D2A	4p15.32	9.54	9.42	0.51	0.46	0.12	0.0739	0.122	Altered group
RAB3IL1	11q12.2-q12.3	8.97	8.82	0.66	0.67	0.16	0.0740	0.122	Altered group
SLC22A15	1p13.1	6.57	6.16	1.73	1.65	0.41	0.0740	0.122	Altered group
OGDH	7p13	11.70	11.59	0.45	0.39	0.10	0.0741	0.122	Altered group
TMEM50B	21q22.11	10.04	9.94	0.44	0.33	0.10	0.0741	0.122	Altered group
IL2	4q27	0.07	0.02	0.25	0.10	0.06	0.0745	0.123	Altered group
FOXE1	9q22.33	1.94	1.47	2.01	1.71	0.47	0.0746	0.123	Altered group
PPP2R1B	11q23.1	8.89	8.81	0.34	0.39	0.08	0.0748	0.123	Altered group
PEDS1	20q13.13	9.69	9.58	0.45	0.48	0.11	0.0750	0.123	Altered group
TSSC2	11p15.4	3.88	3.60	1.25	0.66	0.28	0.0750	0.123	Altered group
CRLF2	Xp22.3 and Yp11.3	0.08	0.03	0.22	0.14	0.05	0.0750	0.124	Altered group
MBP	18q23	14.86	14.32	2.28	2.44	0.54	0.0751	0.124	Altered group
IGF2	11p15.5	9.17	8.77	1.73	1.52	0.40	0.0752	0.124	Altered group
FLVCR1-DT	1q32.3	4.76	4.55	0.89	0.95	0.21	0.0752	0.124	Altered group
ZNF367	9q22.32	7.07	6.87	0.81	1.00	0.20	0.0752	0.124	Altered group
RRAS2	11p15.2	8.17	8.00	0.73	0.63	0.17	0.0752	0.124	Altered group
ANP32E	1q21.2	10.74	10.64	0.41	0.45	0.10	0.0753	0.124	Altered group
RANBP3L	5p13.2	8.70	8.41	1.19	1.44	0.29	0.0754	0.124	Altered group
UTP18	17q21.33	9.39	9.32	0.27	0.30	0.07	0.0756	0.124	Altered group
GSTM1	1p13.3	5.99	5.12	3.72	3.52	0.87	0.0756	0.124	Altered group
SCO1	17p13.1	8.42	8.35	0.28	0.26	0.06	0.0759	0.125	Altered group
CDC42EP5	19q13.42	3.52	3.24	1.24	1.07	0.29	0.0761	0.125	Altered group
MVB12B	9q33.3	11.06	10.94	0.51	0.54	0.12	0.0763	0.125	Altered group
SHE	1q21.3	6.65	6.48	0.73	0.80	0.17	0.0763	0.125	Altered group
CCDC87	11q13.2	4.38	4.22	0.71	0.72	0.17	0.0764	0.125	Altered group
C1GALT1C1L	2p21	4.95	4.64	1.28	1.36	0.30	0.0764	0.125	Altered group
RAD54L2	3p21.2	7.77	7.60	0.71	0.97	0.17	0.0764	0.125	Altered group
BET1P1	7q36.1	0.52	0.39	0.57	0.45	0.13	0.0764	0.125	Altered group
CYSLTR2	13q14.2	4.94	4.63	1.38	1.12	0.32	0.0768	0.126	Altered group
GPR39	2q21.2	4.21	3.90	1.38	0.98	0.31	0.0772	0.127	Altered group
THEMIS	6q22.33	3.36	3.04	1.33	1.73	0.32	0.0773	0.127	Altered group
BRAF	7q34	6.82	6.65	0.68	0.89	0.17	0.0774	0.127	Altered group
EPRS1	1q41	11.47	11.40	0.33	0.32	0.08	0.0774	0.127	Altered group
C5ORF51	5p13.1	10.25	10.16	0.39	0.35	0.09	0.0775	0.127	Altered group
GPR180	13q32.1	7.70	7.59	0.48	0.53	0.11	0.0777	0.127	Altered group
VSTM4	10q11.23	8.95	8.81	0.60	0.63	0.14	0.0778	0.127	Altered group
ZNF836	19q13.33	6.36	6.27	0.39	0.44	0.09	0.0780	0.128	Altered group
DYNC2H1	11q22.3	9.19	9.01	0.82	0.69	0.19	0.0780	0.128	Altered group
AAGAB	15q23	9.38	9.30	0.35	0.42	0.08	0.0784	0.128	Altered group
PIH1D1	19q13.33	9.89	9.79	0.41	0.47	0.10	0.0786	0.129	Altered group
ZKSCAN4	6p22.1	7.07	6.98	0.39	0.41	0.09	0.0787	0.129	Altered group
P2RY11	19p13.2	7.65	7.42	0.96	1.12	0.23	0.0789	0.129	Altered group
LINC00662	19q11	6.56	6.45	0.46	0.63	0.11	0.0789	0.129	Altered group
ZBBX	3q26.1	4.23	3.79	1.95	1.41	0.44	0.0790	0.129	Altered group
ADGRD2	9q33.3	0.69	0.41	1.23	0.99	0.28	0.0791	0.129	Altered group
FIBIN	11p14.2	10.41	10.05	1.56	1.59	0.36	0.0792	0.129	Altered group
PEX11A	15q26.1	7.11	6.97	0.56	0.58	0.13	0.0792	0.129	Altered group
LRRC36	16q22.1	3.19	2.87	1.41	1.32	0.32	0.0792	0.129	Altered group
POLD1	19q13.3	8.29	8.15	0.59	0.77	0.14	0.0792	0.129	Altered group
EIF2S3	Xp22.11	11.16	11.10	0.25	0.39	0.06	0.0793	0.129	Altered group
APOH	17q24.2	1.06	0.73	1.46	1.13	0.33	0.0794	0.130	Altered group
COMT	22q11.21	11.62	11.53	0.38	0.45	0.09	0.0795	0.130	Altered group
GUSBP3	5q13.2	6.29	6.10	0.86	0.75	0.20	0.0796	0.130	Altered group
CCZ1	7p22.1	9.77	9.66	0.47	0.46	0.11	0.0797	0.130	Altered group
TAS2R60	7q35	0.10	0.05	0.20	0.16	0.05	0.0798	0.130	Altered group
ZNF366	5q13.1	5.24	4.99	1.07	1.14	0.25	0.0798	0.130	Altered group
SARAF	8p12	13.37	13.30	0.31	0.34	0.07	0.0799	0.130	Altered group
EFHD2	1p36.21	10.45	10.30	0.62	0.81	0.15	0.0803	0.131	Altered group
FARP1	13q32.2	10.93	10.77	0.70	0.84	0.17	0.0804	0.131	Altered group
PTPN11	12q24.13	12.84	12.71	0.57	0.48	0.13	0.0804	0.131	Altered group
HAUS2	15q15.2	9.12	9.04	0.31	0.34	0.07	0.0804	0.131	Altered group
DHX15	4p15.2	10.79	10.73	0.24	0.38	0.06	0.0804	0.131	Altered group
APIP	11p13	8.33	8.24	0.41	0.40	0.09	0.0804	0.131	Altered group
PTCH2	1p34.1	6.93	6.69	0.99	1.14	0.23	0.0805	0.131	Altered group
EPB41L3	18p11.31	10.49	10.29	0.81	1.16	0.20	0.0807	0.131	Altered group
TMEM192	4q32.3	9.00	8.90	0.44	0.49	0.10	0.0807	0.131	Altered group
UCP1	4q31.1	0.19	0.12	0.32	0.27	0.07	0.0807	0.131	Altered group
HBE1	11p15.4	1.12	0.94	0.82	0.77	0.19	0.0808	0.132	Altered group
SPATA16	3q26.31	0.09	0.04	0.23	0.17	0.05	0.0808	0.132	Altered group
ACTG2	2p13.1	3.86	3.44	1.79	2.15	0.42	0.0809	0.132	Altered group
EBLN2	3p13	2.99	2.81	0.73	0.91	0.17	0.0810	0.132	Altered group
FAM234A	16p13.3	10.76	10.66	0.45	0.50	0.11	0.0810	0.132	Altered group
PABPC1	8q22.3	13.57	13.44	0.56	0.73	0.13	0.0811	0.132	Altered group
PCDHA4	5q31.3	6.87	6.38	2.10	2.22	0.49	0.0812	0.132	Altered group
G0S2	1q32.2	3.68	3.17	2.25	1.94	0.51	0.0812	0.132	Altered group
OR52N4	11p15.4	1.72	1.47	1.07	0.93	0.24	0.0812	0.132	Altered group
HOXD3	2q31.1	3.70	3.17	2.27	2.43	0.53	0.0812	0.132	Altered group
TRIM31	6p22.1	0.39	0.29	0.45	0.45	0.10	0.0812	0.132	Altered group
PPID	4q32.1	8.93	8.86	0.33	0.35	0.08	0.0813	0.132	Altered group
MGAM	7q34	3.56	3.25	1.32	1.41	0.31	0.0813	0.132	Altered group
DUSP5	10q25.2	6.70	6.37	1.40	1.68	0.33	0.0815	0.132	Altered group
BMS1P20	22q11.22	9.16	8.86	1.37	0.57	0.30	0.0815	0.132	Altered group
CCNYL6	19p12	2.18	2.04	0.59	0.61	0.14	0.0815	0.133	Altered group
FAM136BP	6p25.2	0.25	0.17	0.38	0.31	0.09	0.0816	0.133	Altered group
C3ORF22	3q21.3	0.51	0.31	0.88	0.67	0.20	0.0816	0.133	Altered group
SRP14P1	12p13.31	2.92	2.77	0.65	0.63	0.15	0.0816	0.133	Altered group
BCAP31	Xq28	11.72	11.64	0.34	0.37	0.08	0.0817	0.133	Altered group
C1ORF94	1p35.1	6.48	6.21	1.18	1.11	0.27	0.0817	0.133	Altered group
KLHL38	8q24.13	1.53	1.29	1.03	0.99	0.24	0.0819	0.133	Altered group
TULP1	6p21.31	0.59	0.40	0.80	0.68	0.18	0.0820	0.133	Altered group
ZNF808	19q13.41	6.78	6.64	0.61	0.62	0.14	0.0820	0.133	Altered group
CDO1	5q22.3	10.15	9.95	0.89	0.72	0.20	0.0820	0.133	Altered group
TPM3P9	19q13.42	6.59	6.44	0.61	0.69	0.14	0.0820	0.133	Altered group
KIF23	15q23	5.60	5.22	1.63	1.84	0.38	0.0824	0.134	Altered group
KIF4A	Xq13.1	6.56	6.19	1.58	1.69	0.37	0.0827	0.134	Altered group
RAET1K	6q25.1	0.62	0.45	0.73	0.77	0.17	0.0829	0.135	Altered group
ZFP57	6p22.1	3.97	3.55	1.83	1.70	0.42	0.0830	0.135	Altered group
RPL28	19q13.42	12.88	12.74	0.61	0.68	0.14	0.0830	0.135	Altered group
TTK	6q14.1	5.10	4.69	1.76	1.97	0.41	0.0831	0.135	Altered group
RLN3	19p13.12	0.11	0.05	0.25	0.30	0.06	0.0831	0.135	Altered group
CIP2A	3q13.13	6.31	6.14	0.68	0.90	0.16	0.0831	0.135	Altered group
CPA3	3q24	1.20	0.76	1.98	1.33	0.44	0.0831	0.135	Altered group
AHDC1	1p36.11-p35.3	10.60	10.48	0.49	0.52	0.11	0.0832	0.135	Altered group
INAFM1	19q13.32	7.53	7.29	1.07	0.89	0.24	0.0832	0.135	Altered group
CENPF	1q41	8.43	8.06	1.58	1.76	0.37	0.0833	0.135	Altered group
RRM2B	8q22.3	10.12	9.98	0.60	0.49	0.13	0.0833	0.135	Altered group
IQGAP3	1q22	6.12	5.73	1.67	1.81	0.39	0.0834	0.135	Altered group
TAF10	11p15.4	9.39	9.26	0.55	0.49	0.12	0.0834	0.135	Altered group
PATL1	11q12.1	10.00	9.91	0.39	0.46	0.09	0.0836	0.135	Altered group
HOXC8	12q13.13	1.24	0.82	1.84	1.64	0.42	0.0837	0.136	Altered group
TRIT1	1p34.2	8.16	8.05	0.46	0.67	0.11	0.0837	0.136	Altered group
CCNB2	15q22.2	5.87	5.45	1.76	2.08	0.41	0.0840	0.136	Altered group
TCFL5	20q13.33	8.88	8.66	0.92	0.94	0.21	0.0840	0.136	Altered group
SPON2	4p16.3	5.60	5.17	1.95	1.60	0.44	0.0842	0.136	Altered group
BUD31	7q22.1	10.26	10.16	0.43	0.47	0.10	0.0842	0.136	Altered group
GSTA3	6p12.2	0.12	0.02	0.44	0.10	0.09	0.0843	0.136	Altered group
CLMN	14q32.13	8.36	8.10	1.14	1.05	0.26	0.0843	0.136	Altered group
ASIC5	4q32.1	0.09	0.04	0.21	0.15	0.05	0.0844	0.137	Altered group
TAF8	6p21.1	8.50	8.43	0.31	0.33	0.07	0.0847	0.137	Altered group
C6ORF118	6q27	3.71	3.25	2.07	1.39	0.46	0.0849	0.137	Altered group
SCYL3	1q24.2	7.82	7.77	0.24	0.28	0.06	0.0849	0.137	Altered group
GPD1	12q13.12	8.47	8.03	1.95	1.83	0.44	0.0850	0.137	Altered group
TXN	9q31.3	9.80	9.69	0.51	0.54	0.12	0.0851	0.137	Altered group
RMST	12q23.1	4.17	3.85	1.36	1.57	0.32	0.0853	0.138	Altered group
ITIH1	3p21.1	0.68	0.47	0.95	0.80	0.21	0.0853	0.138	Altered group
SYNCRIP	6q14.3	11.55	11.47	0.32	0.36	0.07	0.0854	0.138	Altered group
RPL23P8	7p15.3	6.32	6.12	0.84	0.91	0.19	0.0854	0.138	Altered group
GNAT2	1p13.3	0.95	0.81	0.60	0.62	0.14	0.0855	0.138	Altered group
HOXD4	2q31.1	3.01	2.58	1.87	2.17	0.43	0.0855	0.138	Altered group
DYNC1I2	2q31.1	11.17	11.07	0.47	0.33	0.10	0.0855	0.138	Altered group
TMEM200A	6q23.1	5.31	4.99	1.36	1.62	0.32	0.0855	0.138	Altered group
TSPAN31	12q14.1	10.39	10.20	0.86	0.69	0.19	0.0856	0.138	Altered group
EMP2	16p13.13	8.21	7.98	1.03	0.85	0.23	0.0857	0.138	Altered group
ARG1	6q23.2	1.30	1.05	1.13	0.89	0.25	0.0857	0.138	Altered group
OR2A4	6q23.2	0.96	0.79	0.73	0.59	0.16	0.0857	0.138	Altered group
TMEM222	1p36.11	10.26	10.17	0.35	0.46	0.08	0.0857	0.138	Altered group
SH3TC2	5q32	7.42	7.05	1.65	1.56	0.37	0.0858	0.138	Altered group
CDK2AP2	11q13.2	9.75	9.64	0.49	0.57	0.11	0.0859	0.138	Altered group
C1QTNF9	13q12.12	2.30	2.08	0.98	1.01	0.22	0.0859	0.138	Altered group
ZNF487	10q11.21	5.09	4.91	0.77	0.59	0.17	0.0860	0.138	Altered group
PRUNE2	9q21.2	12.05	11.85	0.88	0.96	0.20	0.0860	0.138	Altered group
RPH3AL	17p13.3	6.43	6.29	0.63	0.54	0.14	0.0865	0.139	Altered group
CALHM5	6q22.1	4.64	4.43	0.90	0.97	0.21	0.0865	0.139	Altered group
HMGB1P1	20q13.31	7.27	7.16	0.50	0.47	0.11	0.0867	0.139	Altered group
RNASE10	14q11.2	0.66	0.55	0.50	0.57	0.12	0.0867	0.139	Altered group
EFCAB1	8q11.21	4.27	3.71	2.58	1.74	0.57	0.0868	0.140	Altered group
ZNF586	19q13.43	6.34	6.26	0.36	0.51	0.09	0.0869	0.140	Altered group
TAC4	17q21.33	2.44	2.05	1.76	1.45	0.39	0.0874	0.140	Altered group
PIK3CA	3q26.32	8.93	8.77	0.67	0.72	0.15	0.0875	0.141	Altered group
KIR3DL3	19q13.42	0.06	0.02	0.19	0.11	0.04	0.0879	0.141	Altered group
ATP8B1	18q21.31	5.11	4.84	1.20	1.04	0.27	0.0880	0.141	Altered group
ZNF80	3q13.31	1.50	1.30	0.90	0.92	0.20	0.0881	0.142	Altered group
CCDC158	4q21.1	1.97	1.70	1.23	1.06	0.27	0.0883	0.142	Altered group
ANGPTL5	11q22.1	1.71	1.48	1.02	0.83	0.23	0.0884	0.142	Altered group
FABP5P3	7q36.1	1.14	1.00	0.63	0.60	0.14	0.0884	0.142	Altered group
MELK	9p13.2	5.35	4.93	1.83	2.09	0.42	0.0884	0.142	Altered group
ISYNA1	19p13.11	8.50	8.32	0.80	0.83	0.18	0.0885	0.142	Altered group
IFT80	3q25.33	9.26	9.12	0.60	0.55	0.13	0.0886	0.142	Altered group
PPM1J	1p13.2	4.81	4.52	1.28	1.34	0.29	0.0888	0.142	Altered group
NBN	8q21.3	10.37	10.27	0.45	0.42	0.10	0.0890	0.143	Altered group
MT1E	16q13	9.53	9.18	1.58	1.32	0.35	0.0891	0.143	Altered group
TRPV3	17p13.2	4.23	3.92	1.36	1.37	0.31	0.0892	0.143	Altered group
ARC	8q24.3	9.41	9.08	1.45	1.64	0.33	0.0894	0.143	Altered group
LEPR	1p31.3	7.57	7.40	0.74	0.91	0.17	0.0895	0.143	Altered group
FADS3	11q12.2	9.30	9.15	0.67	0.69	0.15	0.0899	0.144	Altered group
PIK3C2G	12p12.3	2.49	2.04	2.04	1.51	0.44	0.0901	0.144	Altered group
LINC01096	4p15.33	0.57	0.32	1.13	0.82	0.25	0.0902	0.144	Altered group
BMPR1B	4q22.3	9.80	9.58	0.94	1.12	0.22	0.0903	0.144	Altered group
PHF8	Xp11.22	9.61	9.53	0.34	0.43	0.08	0.0904	0.145	Altered group
HBD	11p15.4	0.85	0.62	1.07	0.96	0.24	0.0904	0.145	Altered group
EIF2AK3	2p11.2	9.14	9.03	0.50	0.53	0.11	0.0908	0.145	Altered group
MTFR2	6q23.3	3.74	3.51	0.98	1.20	0.23	0.0909	0.145	Altered group
PRR15L	17q21.32	1.12	0.98	0.64	0.68	0.14	0.0909	0.145	Altered group
FBXO47	17q12	0.21	0.13	0.35	0.27	0.08	0.0909	0.145	Altered group
DES	2q35	3.62	3.06	2.54	2.40	0.56	0.0910	0.145	Altered group
PNPO	17q21.32	10.30	10.23	0.32	0.37	0.07	0.0912	0.146	Altered group
PEX10	1p36.32	10.04	9.96	0.36	0.45	0.08	0.0913	0.146	Altered group
TMEM120A	7q11.23	9.63	9.54	0.41	0.46	0.09	0.0914	0.146	Altered group
RPL12	9q33.3	12.29	12.15	0.60	0.61	0.13	0.0915	0.146	Altered group
ATP6AP2	Xp11.4	11.80	11.72	0.34	0.34	0.08	0.0915	0.146	Altered group
H19	11p15.5	5.28	4.49	3.64	2.66	0.79	0.0916	0.146	Altered group
PAGE5	Xp11.21	0.06	0.02	0.17	0.16	0.04	0.0917	0.146	Altered group
WWC2	4q35.1	8.55	8.41	0.61	0.62	0.14	0.0917	0.146	Altered group
ALPK2	18q21.31-q21.32	2.81	2.39	1.90	1.55	0.42	0.0917	0.146	Altered group
STON1-GTF2A1L	2p16.3	2.65	2.16	2.19	2.06	0.48	0.0917	0.146	Altered group
B4GALNT2	17q21.32	0.17	0.03	0.68	0.12	0.14	0.0917	0.146	Altered group
C19ORF18	19q13.43	3.83	3.60	1.04	1.20	0.24	0.0918	0.146	Altered group
NXF3	Xq22.1	0.75	0.59	0.74	0.70	0.16	0.0920	0.147	Altered group
MAX	14q23.3	10.32	10.25	0.32	0.31	0.07	0.0921	0.147	Altered group
EPS8L3	1p13.3	0.38	0.25	0.59	0.47	0.13	0.0922	0.147	Altered group
LINC01587	4p16.2	0.67	0.51	0.67	0.77	0.15	0.0923	0.147	Altered group
KNL1	15q15.1	5.31	4.91	1.75	1.99	0.40	0.0924	0.147	Altered group
ACOT4	14q24.3	4.14	3.93	0.88	1.23	0.21	0.0924	0.147	Altered group
WFDC8	20q13.12	0.06	0.02	0.22	0.12	0.05	0.0924	0.147	Altered group
UFC1	1q23.3	10.95	10.88	0.32	0.32	0.07	0.0924	0.147	Altered group
TRIM33	1p13.2	10.16	10.07	0.41	0.48	0.09	0.0925	0.147	Altered group
MOG	6p22.1	9.99	9.49	2.21	2.40	0.50	0.0925	0.147	Altered group
PRRC1	5q23.2	9.81	9.73	0.35	0.41	0.08	0.0926	0.147	Altered group
ID2	2p25.1	11.75	11.62	0.58	0.63	0.13	0.0926	0.148	Altered group
RASA2	3q23	6.15	5.95	0.85	1.19	0.20	0.0927	0.148	Altered group
SERHL2	22q13.2	4.46	4.23	1.05	0.88	0.23	0.0927	0.148	Altered group
TXNRD3	3q21.3	7.14	7.03	0.45	0.55	0.10	0.0928	0.148	Altered group
RASSF6	4q13.3	0.51	0.32	0.86	0.67	0.19	0.0928	0.148	Altered group
GLIS3-AS1	9p24.2	0.79	0.61	0.82	0.62	0.18	0.0929	0.148	Altered group
BRCC3	Xq28	8.34	8.27	0.33	0.33	0.07	0.0931	0.148	Altered group
GLG1	16q23.1	12.43	12.36	0.32	0.28	0.07	0.0932	0.148	Altered group
PEX12	17q12	9.12	9.02	0.44	0.41	0.10	0.0932	0.148	Altered group
TOR1AIP2	1q25.2	8.51	8.38	0.56	0.60	0.12	0.0933	0.148	Altered group
LRRFIP2	3p22.2	10.06	9.96	0.45	0.40	0.10	0.0937	0.149	Altered group
ANKRD1	10q23.31	1.48	1.14	1.55	1.18	0.34	0.0938	0.149	Altered group
TRH	3q22.1	5.06	4.40	3.06	2.40	0.66	0.0939	0.149	Altered group
LINC00896	22q11.21	0.72	0.54	0.83	0.69	0.18	0.0939	0.149	Altered group
UNC5C	4q22.3	5.16	4.79	1.71	1.63	0.38	0.0940	0.149	Altered group
PLCD3	17q21.31	11.61	11.48	0.60	0.76	0.14	0.0940	0.149	Altered group
RSPH9	6p21.1	2.54	2.11	1.97	1.47	0.42	0.0943	0.150	Altered group
MID1	Xp22	9.06	8.90	0.72	0.82	0.16	0.0945	0.150	Altered group
FAM3D	3p14.2	0.89	0.69	0.91	0.78	0.20	0.0945	0.150	Altered group
PECR	2q35	7.55	7.47	0.36	0.48	0.08	0.0950	0.151	Altered group
FMO1	1q24.3	1.47	1.17	1.40	1.04	0.30	0.0950	0.151	Altered group
H3C4	6p22.2	2.17	1.97	0.93	0.98	0.21	0.0950	0.151	Altered group
TRIM63	1p36.11	1.43	1.13	1.43	1.11	0.31	0.0951	0.151	Altered group
ZNF747	16p11.2	8.07	8.02	0.20	0.24	0.05	0.0951	0.151	Altered group
TRAF5	1q32.3	7.06	6.84	0.99	0.94	0.22	0.0952	0.151	Altered group
PLP1	Xq22.2	15.18	14.84	1.48	1.67	0.33	0.0952	0.151	Altered group
FILIP1	6q14.1	6.20	5.97	1.04	1.00	0.23	0.0953	0.151	Altered group
NSRP1	17q11.2	9.69	9.61	0.38	0.34	0.08	0.0956	0.151	Altered group
GABARAP	17p13.1	13.03	12.93	0.43	0.44	0.09	0.0961	0.152	Altered group
H2AC16	6p22.1	0.45	0.32	0.56	0.53	0.12	0.0963	0.153	Altered group
TMED4	7p13	10.06	9.96	0.44	0.37	0.10	0.0964	0.153	Altered group
ATP1B3	3q23	10.64	10.55	0.39	0.40	0.09	0.0965	0.153	Altered group
RHEX	1q32.1	0.53	0.31	1.05	0.54	0.22	0.0965	0.153	Altered group
EEF1AKNMT	1q24.3	9.87	9.82	0.24	0.25	0.05	0.0965	0.153	Altered group
DESI2	1q44	9.28	9.20	0.35	0.52	0.08	0.0966	0.153	Altered group
HSDL2	9q32	10.68	10.54	0.63	0.56	0.14	0.0968	0.153	Altered group
MYBPC1	12q23.2	8.58	8.16	1.94	1.84	0.42	0.0969	0.153	Altered group
CLN8	8p23.3	10.12	10.01	0.49	0.52	0.11	0.0971	0.154	Altered group
GALK1	17q25.1	8.77	8.63	0.63	0.68	0.14	0.0971	0.154	Altered group
SNX30	9q32	9.87	9.76	0.50	0.58	0.11	0.0972	0.154	Altered group
KIF14	1q32.1	5.33	5.00	1.48	1.75	0.33	0.0973	0.154	Altered group
UCN2	3p21.31	1.68	1.38	1.41	1.05	0.30	0.0973	0.154	Altered group
HBG2	11p15.4	1.72	1.35	1.72	1.46	0.37	0.0977	0.154	Altered group
UPB1	22q11.23	2.80	2.57	1.05	0.85	0.23	0.0977	0.154	Altered group
SGSH	17q25.3	9.11	9.02	0.42	0.41	0.09	0.0977	0.154	Altered group
SPINK1	5q32	0.56	0.38	0.86	0.74	0.19	0.0978	0.154	Altered group
HMGA1	6p21.31	10.15	9.98	0.78	0.70	0.17	0.0979	0.155	Altered group
ZFP3	17p13.2	9.05	8.95	0.49	0.51	0.11	0.0980	0.155	Altered group
BICD2	9q22.31	10.16	10.10	0.29	0.35	0.06	0.0987	0.156	Altered group
PALS1	14q23.3	10.10	10.00	0.47	0.47	0.10	0.0987	0.156	Altered group
DUSP16	12p13.2	9.85	9.75	0.46	0.50	0.10	0.0988	0.156	Altered group
NADSYN1	11q13.4	9.20	9.08	0.53	0.47	0.11	0.0988	0.156	Altered group
THBS4	5q14.1	9.16	8.82	1.65	1.02	0.35	0.0989	0.156	Altered group
GP2	16p12.3	0.20	0.10	0.50	0.38	0.11	0.0991	0.156	Altered group
ERCC6L	Xq13.1	3.96	3.72	1.05	1.34	0.24	0.0992	0.156	Altered group
SIGLEC15	18q21.1	0.44	0.30	0.65	0.41	0.14	0.0994	0.157	Altered group
GSTM5	1p13.3	7.17	6.71	2.15	2.06	0.47	0.0994	0.157	Altered group
CAPZA3	12p12.3	0.29	0.18	0.57	0.34	0.12	0.0995	0.157	Altered group
YIF1B	19q13.2	9.58	9.47	0.51	0.52	0.11	0.0995	0.157	Altered group
LGALS14	19q13.2	0.15	0.06	0.46	0.20	0.09	0.0996	0.157	Altered group
HYDIN	16q22.2	8.19	7.88	1.40	1.25	0.30	0.0997	0.157	Altered group
SLC39A14	8p21.3	10.70	10.54	0.73	0.77	0.16	0.0997	0.157	Altered group
RBMXL2	11p15.4	0.80	0.65	0.70	0.57	0.15	0.0998	0.157	Altered group
IER5L	9q34.11	7.49	7.22	1.29	1.10	0.28	0.0998	0.157	Altered group
ZNF189	9q31.1	9.46	9.35	0.48	0.44	0.10	0.0998	0.157	Altered group
CPSF4L	17q25.1	0.34	0.26	0.39	0.38	0.08	0.100	0.157	Altered group
TMTC1	12p11.22	8.68	8.46	0.98	1.08	0.21	0.100	0.158	Altered group
S100A12	1q21.3	1.31	1.06	1.14	1.14	0.25	0.100	0.158	Altered group
SP3	2q31.1	10.54	10.46	0.36	0.39	0.08	0.101	0.159	Altered group
UFSP2	4q35.1	9.34	9.26	0.36	0.43	0.08	0.101	0.159	Altered group
SEC22C	3p22.1	9.69	9.61	0.36	0.39	0.08	0.101	0.159	Altered group
MOBP	3p22.1	10.54	9.96	2.69	2.74	0.58	0.101	0.159	Altered group
TTC24	1q22	1.62	1.40	1.04	1.14	0.23	0.101	0.159	Altered group
CFAP299	4q21.21	0.40	0.15	1.18	0.52	0.24	0.101	0.159	Altered group
CCNA2	4q27	6.51	6.25	1.21	1.41	0.27	0.101	0.159	Altered group
LINC00486	2p22.3	0.77	0.58	0.87	0.65	0.18	0.101	0.159	Altered group
CTDSPL	3p22.2	9.42	9.27	0.69	0.59	0.15	0.101	0.159	Altered group
LINC00922	16q21	0.88	0.72	0.70	0.78	0.15	0.102	0.160	Altered group
C12ORF42	12q23.2	1.17	0.99	0.85	0.64	0.18	0.102	0.160	Altered group
LIG4	13q33.3	8.60	8.49	0.47	0.56	0.10	0.102	0.160	Altered group
ODF3L2	19p13.3	3.32	3.01	1.50	1.13	0.32	0.102	0.160	Altered group
THOC2	Xq25	10.12	10.04	0.34	0.42	0.08	0.102	0.160	Altered group
FGD6	12q22	7.65	7.48	0.78	0.82	0.17	0.102	0.160	Altered group
ZSCAN16	6p22.1	6.40	6.30	0.47	0.56	0.10	0.102	0.160	Altered group
DNTTIP1	20q13.12	9.17	9.11	0.28	0.35	0.06	0.102	0.160	Altered group
CEACAM3	19q13.2	0.47	0.35	0.58	0.58	0.13	0.102	0.160	Altered group
TARDBPP3	2q37.3	5.35	5.26	0.39	0.44	0.09	0.102	0.160	Altered group
FAM9B	Xp22.31	0.09	0.04	0.28	0.14	0.06	0.102	0.160	Altered group
TACC3	4p16.3	8.08	7.83	1.14	1.32	0.25	0.102	0.161	Altered group
CSTL1	20p11.21	0.25	0.18	0.37	0.33	0.08	0.103	0.161	Altered group
MORN1	1p36.32	6.15	5.98	0.77	0.85	0.17	0.103	0.161	Altered group
MCM9	6q22.31	5.20	5.10	0.44	0.67	0.10	0.103	0.161	Altered group
TMOD4	1q21.3	3.33	3.06	1.24	1.21	0.27	0.103	0.161	Altered group
