Gene	Cytoband	Altered group	Unaltered group	Altered group	Unaltered group	Log Ratio	p-Value	q-Value	Higher expression in
PNOC	8p21.1	6.15	4.32	1.47	1.62	1.83	2.63e-8	5.24e-7	Altered group
PATL2	15q21.1	5.20	3.91	1.03	1.37	1.28	2.66e-8	5.29e-7	Altered group
PDCD1	2q37.3	7.09	5.68	1.14	1.40	1.41	2.69e-8	5.35e-7	Altered group
P2RX5	17p13.2	7.14	5.94	0.97	1.27	1.20	2.78e-8	5.51e-7	Altered group
ZNF101	19p13.11	7.45	6.69	0.62	0.57	0.76	2.79e-8	5.53e-7	Altered group
ERAP1	5q15	11.23	10.55	0.54	0.76	0.67	2.81e-8	5.55e-7	Altered group
LIMS1	2q12.3	9.00	8.35	0.52	0.81	0.65	2.81e-8	5.55e-7	Altered group
EIF4E3	3p13	9.57	8.99	0.46	0.81	0.57	3.02e-8	5.96e-7	Altered group
GPR85	7q31.1	5.99	4.95	0.84	1.19	1.04	3.06e-8	6.04e-7	Altered group
SNRK	3p22.1	10.08	9.57	0.42	0.49	0.51	3.13e-8	6.15e-7	Altered group
GRIN3A	9q31.1	5.45	4.24	0.99	0.96	1.21	3.19e-8	6.26e-7	Altered group
TNFSF12	17p13.1	9.82	9.11	0.58	0.71	0.71	3.37e-8	6.58e-7	Altered group
IRAK3	12q14.3	9.88	8.73	0.94	1.30	1.16	3.37e-8	6.58e-7	Altered group
PIM1	6p21.2	10.61	10.08	0.43	0.71	0.53	3.39e-8	6.62e-7	Altered group
PSMA8	18q11.2	1.56	0.69	0.71	0.86	0.87	3.43e-8	6.70e-7	Altered group
STK17B	2q32.3	11.34	10.71	0.51	0.71	0.63	3.45e-8	6.73e-7	Altered group
ARHGAP17	16p12.1	10.23	9.87	0.29	0.46	0.36	3.48e-8	6.78e-7	Altered group
MAP3K1	5q11.2	9.95	9.42	0.43	0.62	0.53	3.50e-8	6.81e-7	Altered group
A2M	12p13.31	15.11	14.04	0.87	1.13	1.07	3.50e-8	6.81e-7	Altered group
GAL3ST4	7q22.1	8.71	7.70	0.83	1.00	1.01	3.68e-8	7.13e-7	Altered group
TXNIP	1q21.1	14.20	13.48	0.58	1.03	0.72	3.69e-8	7.14e-7	Altered group
MLKL	16q23.1	8.91	8.33	0.47	0.82	0.58	3.69e-8	7.15e-7	Altered group
HCFC2	12q23.3	8.51	8.05	0.37	0.57	0.45	3.72e-8	7.19e-7	Altered group
KCNN3	1q21.3	6.97	5.55	1.16	1.40	1.41	3.75e-8	7.24e-7	Altered group
CD70	19p13.3	4.75	3.58	0.96	1.51	1.18	3.77e-8	7.26e-7	Altered group
CD163L1	12p13.31	7.58	6.31	1.04	1.43	1.27	3.78e-8	7.27e-7	Altered group
NFATC1	18q23	8.91	8.22	0.57	0.86	0.70	3.89e-8	7.48e-7	Altered group
FRMD3	9q21.32	4.72	3.60	0.91	1.27	1.12	3.89e-8	7.48e-7	Altered group
GRAP	17p11.2	8.12	7.23	0.74	0.84	0.90	3.95e-8	7.59e-7	Altered group
UBE2L6	11q12.1	11.51	10.86	0.53	0.89	0.65	3.98e-8	7.63e-7	Altered group
OLR1	12p13.2	10.05	8.60	1.19	1.50	1.45	4.00e-8	7.66e-7	Altered group
MRAS	3q22.3	9.29	8.63	0.54	0.76	0.66	4.02e-8	7.68e-7	Altered group
ATG7	3p25.3	9.95	9.49	0.38	0.44	0.46	4.10e-8	7.84e-7	Altered group
RASGRP4	19q13.2	6.54	5.28	1.03	1.16	1.26	4.16e-8	7.94e-7	Altered group
APOC1	19q13.32	12.03	10.49	1.27	1.37	1.54	4.25e-8	8.10e-7	Altered group
C5AR1	19q13.32	9.68	8.51	0.96	1.08	1.16	4.26e-8	8.12e-7	Altered group
SP110	2q37.1	9.59	9.17	0.34	0.64	0.42	4.34e-8	8.26e-7	Altered group
ZNF80	3q13.31	3.98	2.51	1.21	1.38	1.46	4.35e-8	8.27e-7	Altered group
MTMR10	15q13.3	9.55	9.07	0.40	0.56	0.48	4.56e-8	8.65e-7	Altered group
CSK	15q24.1	11.00	10.47	0.44	0.48	0.53	4.56e-8	8.65e-7	Altered group
ADAMDEC1	8p21.2	8.91	6.64	1.88	2.06	2.28	4.57e-8	8.65e-7	Altered group
GBP1	1p22.2	11.38	10.21	0.96	1.28	1.17	4.57e-8	8.65e-7	Altered group
TMCC3	12q22	8.60	7.97	0.52	0.97	0.63	4.60e-8	8.70e-7	Altered group
CLEC17A	19p13.12	4.47	2.54	1.60	1.50	1.93	4.60e-8	8.70e-7	Altered group
PLAGL1	6q24.2	8.61	7.87	0.60	1.15	0.74	4.69e-8	8.86e-7	Altered group
RNF144B	6p22.3	9.77	9.10	0.55	0.96	0.67	4.98e-8	9.39e-7	Altered group
YPEL2	17q22	9.50	9.09	0.33	0.58	0.40	5.02e-8	9.46e-7	Altered group
TMIGD2	19p13.3	4.24	2.87	1.14	1.25	1.37	5.04e-8	9.49e-7	Altered group
OSBPL11	3q21.2	9.34	8.91	0.36	0.46	0.44	5.05e-8	9.50e-7	Altered group
XCL2	1q24.2	5.13	3.58	1.28	1.34	1.54	5.05e-8	9.50e-7	Altered group
MOB3A	19p13.3	10.61	10.13	0.39	0.55	0.47	5.10e-8	9.57e-7	Altered group
PRCP	11q14	11.39	10.79	0.50	0.63	0.60	5.13e-8	9.61e-7	Altered group
IL22RA2	6q23.3	5.69	3.66	1.69	1.92	2.03	5.34e-8	9.99e-7	Altered group
TNS3	7p12.3	12.17	11.49	0.56	0.73	0.68	5.35e-8	9.99e-7	Altered group
TNF	6p21.33	6.15	4.59	1.31	1.45	1.57	5.50e-8	1.027e-6	Altered group
AXL	19q13.2	10.75	9.90	0.70	1.02	0.84	5.54e-8	1.032e-6	Altered group
SSPN	12p12.1	9.11	8.11	0.83	1.14	1.00	5.62e-8	1.047e-6	Altered group
LTB	6p21.33	9.36	7.92	1.20	1.39	1.44	5.65e-8	1.052e-6	Altered group
ACE	17q23.3	10.73	9.74	0.83	1.00	0.99	5.69e-8	1.058e-6	Altered group
CBX7	22q13.1	9.88	9.08	0.67	0.93	0.81	5.73e-8	1.064e-6	Altered group
ALDH1A1	9q21.13	11.45	10.20	1.03	1.75	1.25	5.82e-8	1.079e-6	Altered group
PAX5	9p13.2	5.74	3.65	1.75	1.81	2.09	5.99e-8	1.108e-6	Altered group
CDC40	6q21	9.32	8.98	0.28	0.45	0.34	6.01e-8	1.111e-6	Altered group
DNASE1L3	3p14.3	6.17	4.20	1.65	1.95	1.97	6.04e-8	1.116e-6	Altered group
MAX	14q23.3	10.56	10.26	0.25	0.39	0.30	6.07e-8	1.122e-6	Altered group
CCL18	17q12	11.89	10.16	1.45	1.75	1.73	6.17e-8	1.139e-6	Altered group
FLVCR2	14q24.3	9.15	8.26	0.74	0.95	0.89	6.19e-8	1.141e-6	Altered group
SOX5	12p12.1	4.56	3.64	0.76	1.33	0.92	6.20e-8	1.141e-6	Altered group
MAP7D3	Xq26.3	7.37	6.68	0.57	1.09	0.69	6.30e-8	1.158e-6	Altered group
SRGAP3	3p25.3	7.35	6.55	0.66	1.16	0.80	6.45e-8	1.185e-6	Altered group
HGF	7q21.11	7.28	6.08	1.00	1.47	1.20	6.47e-8	1.187e-6	Altered group
IFNGR1	6q23.3	11.69	11.12	0.47	0.73	0.57	6.55e-8	1.201e-6	Altered group
LGALS9	17q11.2	11.49	10.66	0.69	1.04	0.83	6.56e-8	1.201e-6	Altered group
MTMR8	Xq11.2	3.88	3.25	0.51	1.15	0.63	6.63e-8	1.213e-6	Altered group
MBD2	18q21.2	10.61	10.29	0.26	0.44	0.32	6.64e-8	1.213e-6	Altered group
TRPM2	21q22.3	9.04	7.97	0.89	1.18	1.06	6.78e-8	1.239e-6	Altered group
PCNX1	14q24.2	10.44	9.95	0.41	0.56	0.49	6.79e-8	1.240e-6	Altered group
SERPINB8	18q22.1	8.80	8.25	0.46	0.80	0.56	6.88e-8	1.253e-6	Altered group
PTCRA	6p21.1	4.02	2.55	1.24	1.19	1.47	6.93e-8	1.260e-6	Altered group
SH2D2A	1q23.1	7.65	6.70	0.80	1.05	0.95	7.18e-8	1.305e-6	Altered group
CLNK	4p16.1	2.65	1.53	0.94	1.10	1.12	7.35e-8	1.334e-6	Altered group
SNAI3	16q24.2	6.30	5.19	0.93	0.91	1.10	7.35e-8	1.334e-6	Altered group
HERC3	4q22.1	9.37	8.82	0.47	0.68	0.55	7.39e-8	1.339e-6	Altered group
PHACTR2	6q24.2	9.93	9.31	0.53	0.78	0.63	7.42e-8	1.344e-6	Altered group
MERTK	2q13	9.05	8.42	0.53	0.88	0.63	7.44e-8	1.347e-6	Altered group
RIN3	14q32.12	10.03	9.28	0.64	0.80	0.76	7.69e-8	1.390e-6	Altered group
CAMK1G	1q32.2	4.80	3.83	0.82	1.00	0.97	7.75e-8	1.400e-6	Altered group
ADAM6	14q32.33	17.82	16.03	1.52	1.87	1.79	7.76e-8	1.401e-6	Altered group
ITPR2	12p11.23	10.43	9.57	0.73	0.96	0.86	7.92e-8	1.428e-6	Altered group
UBA7	3p21.31	10.48	9.87	0.51	0.85	0.61	7.94e-8	1.430e-6	Altered group
FPR2	19q13.41	6.32	4.92	1.19	1.56	1.40	7.97e-8	1.434e-6	Altered group
EXOC3L4	14q32.32	5.28	3.55	1.46	1.55	1.72	8.00e-8	1.439e-6	Altered group
ABCA9	17q24.2	6.27	5.03	1.05	1.29	1.24	8.01e-8	1.440e-6	Altered group
ANK2	4q25-q26	8.33	7.16	0.99	1.35	1.17	8.17e-8	1.467e-6	Altered group
PRAM1	19p13.2	7.41	5.98	1.22	1.28	1.43	8.36e-8	1.499e-6	Altered group
UTS2B	3q28	2.41	1.29	0.96	0.87	1.12	8.66e-8	1.551e-6	Altered group
ZNF136	19p13.2	7.77	7.39	0.31	0.58	0.37	8.68e-8	1.553e-6	Altered group
RNF130	5q35.3	11.26	10.73	0.46	0.57	0.54	8.83e-8	1.579e-6	Altered group
MYCBP2	13q22.3	10.75	10.06	0.59	0.70	0.69	8.92e-8	1.593e-6	Altered group
ITPR1	3p26.1	9.97	9.35	0.51	1.03	0.62	9.01e-8	1.609e-6	Altered group
TSPAN33	7q32.1	8.97	7.98	0.84	1.04	0.99	9.10e-8	1.623e-6	Altered group
MAT2B	5q34	11.13	10.64	0.42	0.58	0.49	9.16e-8	1.633e-6	Altered group
HLA-DRB5	6p21.32	12.85	11.22	1.39	1.79	1.63	9.22e-8	1.642e-6	Altered group
PRKD3	2p22.2	10.19	9.79	0.33	0.72	0.40	9.52e-8	1.692e-6	Altered group
SPATC1	8q24.3	3.31	2.22	0.93	0.97	1.09	9.78e-8	1.736e-6	Altered group
SLC25A30	13q14.13	8.68	8.23	0.38	0.58	0.45	9.98e-8	1.770e-6	Altered group
RECK	9p13.3	8.17	7.41	0.65	0.91	0.76	1.01e-7	1.780e-6	Altered group
PDCD4	10q25.2	10.87	10.38	0.42	0.62	0.49	1.01e-7	1.781e-6	Altered group
TGFB1	19q13.2	11.09	10.45	0.55	0.83	0.64	1.01e-7	1.786e-6	Altered group
TRPS1	8q23.3	8.63	8.02	0.51	1.08	0.61	1.02e-7	1.794e-6	Altered group
ATG4C	1p31.3	8.06	7.61	0.38	0.44	0.45	1.04e-7	1.837e-6	Altered group
DTHD1	4p14	5.07	3.35	1.47	1.94	1.72	1.04e-7	1.841e-6	Altered group
SAMD9	7q21.2	9.82	8.96	0.74	1.15	0.87	1.10e-7	1.931e-6	Altered group
MOSPD2	Xp22.2	8.50	7.96	0.47	0.67	0.55	1.11e-7	1.952e-6	Altered group
PALD1	10q22.1	8.91	8.07	0.73	0.95	0.84	1.12e-7	1.971e-6	Altered group
ARRDC4	15q26.2	9.41	8.61	0.68	1.02	0.80	1.13e-7	1.977e-6	Altered group
KCNMB1	5q35.1	7.09	6.23	0.74	1.15	0.87	1.15e-7	2.011e-6	Altered group
KLRC1	12p13	4.71	3.26	1.25	1.56	1.45	1.15e-7	2.024e-6	Altered group
FRMD4B	3p14.1	9.56	9.01	0.48	0.74	0.56	1.16e-7	2.038e-6	Altered group
A2M-AS1	12p13.31	5.09	4.52	0.49	0.79	0.58	1.17e-7	2.050e-6	Altered group
UBE2J1	6q15	11.54	10.97	0.50	0.48	0.57	1.18e-7	2.059e-6	Altered group
SEMA4A	1q22	10.30	9.75	0.46	0.96	0.55	1.18e-7	2.065e-6	Altered group
IL18	11q23.1	9.31	8.37	0.81	1.21	0.94	1.19e-7	2.072e-6	Altered group
SLC4A7	3p24.1	9.27	8.72	0.47	0.80	0.55	1.19e-7	2.082e-6	Altered group
STAB1	3p21.1	11.13	10.08	0.91	1.02	1.05	1.22e-7	2.132e-6	Altered group
PAG1	8q21.13	10.20	9.58	0.52	1.09	0.62	1.23e-7	2.133e-6	Altered group
SNCA	4q22.1	6.32	5.21	0.96	1.17	1.11	1.24e-7	2.156e-6	Altered group
ST6GAL1	3q27.3	11.87	11.23	0.55	0.94	0.64	1.27e-7	2.203e-6	Altered group
NECAP2	1p36.13	11.21	10.70	0.44	0.47	0.51	1.30e-7	2.254e-6	Altered group
HS3ST2	16p12.2	8.10	6.39	1.49	1.61	1.71	1.32e-7	2.290e-6	Altered group
TSHZ2	20q13.2	6.33	5.22	0.96	1.41	1.11	1.34e-7	2.310e-6	Altered group
PI4K2A	10q24.2	10.24	9.86	0.33	0.50	0.38	1.37e-7	2.360e-6	Altered group
GZMB	14q12	8.34	6.95	1.21	1.64	1.39	1.39e-7	2.393e-6	Altered group
MGAT3	22q13.1	7.94	6.52	1.23	1.55	1.42	1.39e-7	2.394e-6	Altered group
MAP3K14	17q21.31	9.47	8.64	0.73	0.82	0.84	1.45e-7	2.495e-6	Altered group
RTP5	2q37.3	2.41	1.17	1.09	1.01	1.24	1.46e-7	2.501e-6	Altered group
OLFML1	11p15.4	8.29	7.30	0.86	1.02	0.99	1.50e-7	2.566e-6	Altered group
CHI3L2	1p13.2	8.64	7.35	1.11	1.98	1.28	1.51e-7	2.588e-6	Altered group
ARRDC5	19p13.3	3.30	2.35	0.84	0.94	0.95	1.57e-7	2.681e-6	Altered group
TENT5C	1p12	11.12	9.96	1.02	1.11	1.16	1.58e-7	2.692e-6	Altered group
TCF7	5q31.1	8.96	7.96	0.88	0.96	1.00	1.59e-7	2.708e-6	Altered group
OSCAR	19q13.42	8.82	7.40	1.25	1.21	1.42	1.60e-7	2.732e-6	Altered group
RHOJ	14q23.2	7.52	6.73	0.69	0.87	0.79	1.61e-7	2.739e-6	Altered group
CD1E	1q23.1	6.74	5.03	1.50	2.07	1.71	1.63e-7	2.763e-6	Altered group
SLFN12	17q12	7.47	6.85	0.54	0.98	0.63	1.70e-7	2.878e-6	Altered group
CSF1	1p13.3	10.03	9.25	0.68	1.11	0.78	1.71e-7	2.897e-6	Altered group
LGALS2	22q13.1	6.35	4.29	1.82	1.74	2.06	1.72e-7	2.908e-6	Altered group
ITGAE	17p13.2	9.07	8.25	0.73	0.73	0.82	1.80e-7	3.033e-6	Altered group
NMT2	10p13	7.99	7.56	0.38	0.69	0.43	1.80e-7	3.037e-6	Altered group
COL6A5	3q22.1	7.16	5.33	1.62	1.93	1.84	1.81e-7	3.049e-6	Altered group
GGA2	16p12.2	11.47	11.07	0.35	0.52	0.40	1.83e-7	3.077e-6	Altered group
DLEU7	13q14.3	3.60	2.75	0.75	1.04	0.85	1.83e-7	3.077e-6	Altered group
CD82	11p11.2	10.78	10.02	0.67	0.99	0.76	1.84e-7	3.087e-6	Altered group
PLPP7	9q34.13	5.01	4.26	0.66	0.97	0.75	1.84e-7	3.089e-6	Altered group
ENG	9q34.11	12.12	11.41	0.63	0.80	0.72	1.85e-7	3.114e-6	Altered group
IL1B	2q14.1	7.85	6.65	1.05	1.46	1.19	1.90e-7	3.183e-6	Altered group
ABCA1	9q31.1	10.67	9.87	0.70	0.90	0.79	1.90e-7	3.190e-6	Altered group
ANGPTL1	1q25.2	5.99	4.78	1.07	1.33	1.21	1.92e-7	3.211e-6	Altered group
PLAAT4	11q12.3	11.20	10.16	0.91	1.46	1.04	1.95e-7	3.266e-6	Altered group
MICAL1	6q21	10.28	9.47	0.72	0.80	0.81	1.97e-7	3.289e-6	Altered group
OSBPL8	12q21.2	10.84	10.39	0.39	0.57	0.45	1.99e-7	3.316e-6	Altered group
SELP	1q24.2	7.94	6.52	1.26	1.43	1.42	1.99e-7	3.316e-6	Altered group
RHOG	11p15.4	10.74	10.18	0.50	0.48	0.56	2.01e-7	3.345e-6	Altered group
PMP22	17p12	11.12	10.33	0.70	0.88	0.79	2.09e-7	3.479e-6	Altered group
PRKAR2B	7q22.3	8.62	7.86	0.66	1.29	0.76	2.11e-7	3.509e-6	Altered group
LY96	8q21.11	8.54	7.70	0.74	0.97	0.84	2.12e-7	3.518e-6	Altered group
CD1B	1q23.1	5.03	3.25	1.58	1.93	1.78	2.14e-7	3.544e-6	Altered group
NAGA	22q13.2	10.77	10.37	0.35	0.49	0.40	2.16e-7	3.579e-6	Altered group
XAF1	17p13.2	10.31	9.54	0.68	1.13	0.77	2.18e-7	3.602e-6	Altered group
ITM2B	13q14.2	13.93	13.52	0.36	0.67	0.41	2.22e-7	3.663e-6	Altered group
COL19A1	6q13	2.85	1.58	1.14	1.30	1.27	2.28e-7	3.767e-6	Altered group
MMP9	20q13.12	11.75	10.04	1.53	1.64	1.71	2.28e-7	3.767e-6	Altered group
C20ORF202	20p13	3.28	2.56	0.64	0.90	0.72	2.29e-7	3.780e-6	Altered group
ANKRD36BP2	2p11.2	7.51	5.62	1.70	1.94	1.90	2.30e-7	3.789e-6	Altered group
GSPT2	Xp11.22	8.05	7.39	0.57	1.24	0.66	2.35e-7	3.863e-6	Altered group
PDCD4-AS1	10q25.2	5.84	5.26	0.52	0.68	0.58	2.36e-7	3.876e-6	Altered group
TCAF2	7q35	8.09	7.43	0.58	0.96	0.66	2.39e-7	3.925e-6	Altered group
IGFLR1	19q13.12	9.04	8.16	0.79	0.80	0.88	2.48e-7	4.062e-6	Altered group
ELF1	13q14.11	10.88	10.49	0.35	0.51	0.39	2.49e-7	4.073e-6	Altered group
SLC12A3	16q13	3.49	2.27	1.09	1.27	1.22	2.50e-7	4.090e-6	Altered group
DDHD1	14q22.1	9.20	8.70	0.45	0.66	0.50	2.51e-7	4.096e-6	Altered group
ADAM28	8p21.2	9.43	8.32	0.99	1.39	1.11	2.54e-7	4.143e-6	Altered group
TAOK3	12q24.23	10.22	9.83	0.35	0.57	0.39	2.54e-7	4.143e-6	Altered group
MDFIC	7q31.1-q31.2	10.58	10.14	0.38	0.91	0.45	2.59e-7	4.212e-6	Altered group
VCAM1	1p21.2	10.42	9.21	1.09	1.30	1.21	2.60e-7	4.232e-6	Altered group
IFI16	1q23.1	11.81	11.17	0.57	1.13	0.65	2.67e-7	4.336e-6	Altered group
AICDA	12p13.31	3.22	1.55	1.52	1.25	1.68	2.71e-7	4.387e-6	Altered group
OAS2	12q24.13	11.04	10.31	0.65	1.20	0.73	2.71e-7	4.391e-6	Altered group
RGL1	1q25.3	10.29	9.59	0.62	0.94	0.70	2.71e-7	4.391e-6	Altered group
PDE7A	8q13.1	9.61	9.23	0.33	0.70	0.38	2.72e-7	4.396e-6	Altered group
MOB3C	1p33	9.18	8.81	0.34	0.56	0.38	2.73e-7	4.417e-6	Altered group
RIPOR1	16q22.1	10.50	9.98	0.47	0.75	0.53	2.78e-7	4.489e-6	Altered group
RAB39A	11q22.3	4.49	3.29	1.08	1.26	1.20	2.80e-7	4.523e-6	Altered group
CYP27A1	2q35	11.11	9.99	1.01	1.16	1.12	2.84e-7	4.573e-6	Altered group
GALC	14q31.3	10.11	9.61	0.45	0.70	0.50	2.86e-7	4.609e-6	Altered group
LINC00324	17p13.1	6.45	5.74	0.64	0.86	0.71	2.89e-7	4.641e-6	Altered group
CYFIP2	5q33.3	10.33	9.61	0.64	1.17	0.72	2.89e-7	4.641e-6	Altered group
APOE	19q13.32	13.53	12.11	1.29	1.30	1.42	2.92e-7	4.681e-6	Altered group
MBNL3	Xq26.2	6.49	5.58	0.81	1.17	0.90	2.93e-7	4.700e-6	Altered group
CCDC152	5p12	6.55	5.66	0.80	1.01	0.89	2.94e-7	4.705e-6	Altered group
GPR84	12q13.13	6.73	5.45	1.15	1.40	1.28	2.96e-7	4.731e-6	Altered group
MCC	5q22.2	8.40	7.64	0.68	1.04	0.75	2.97e-7	4.745e-6	Altered group
RAB8A	19p13.11	10.77	10.47	0.27	0.38	0.30	2.99e-7	4.768e-6	Altered group
RTP4	3q27.3	7.62	6.75	0.77	1.22	0.86	2.99e-7	4.771e-6	Altered group
CHRNA1	2q31.1	5.51	4.00	1.36	1.86	1.51	3.02e-7	4.802e-6	Altered group
RGL4	22q11.23	5.01	3.71	1.18	1.09	1.30	3.02e-7	4.806e-6	Altered group
LIMD2	17q23.3	10.09	9.11	0.89	0.93	0.98	3.12e-7	4.953e-6	Altered group
NMUR1	2q37.1	4.98	3.98	0.90	1.22	1.00	3.12e-7	4.959e-6	Altered group
TRERF1	6p21.1	8.71	8.11	0.53	0.95	0.60	3.29e-7	5.215e-6	Altered group
SSTR3	22q13.1	2.12	0.97	1.05	0.84	1.15	3.30e-7	5.215e-6	Altered group
ZNF791	19p13.13	7.90	7.49	0.37	0.56	0.41	3.33e-7	5.257e-6	Altered group
MOB3B	9p21.2	8.64	8.02	0.56	1.02	0.63	3.40e-7	5.363e-6	Altered group
PIWIL4	11q21	5.74	4.92	0.73	1.13	0.81	3.40e-7	5.371e-6	Altered group
PSTPIP2	18q21.1	8.72	7.93	0.71	0.97	0.78	3.42e-7	5.389e-6	Altered group
GHRL	3p25.3	3.92	2.58	1.23	1.21	1.34	3.50e-7	5.511e-6	Altered group
RAP2A	13q32.1	10.23	9.80	0.39	0.62	0.43	3.52e-7	5.541e-6	Altered group
LYSMD2	15q21.2	8.46	7.85	0.56	0.71	0.61	3.54e-7	5.562e-6	Altered group
SLFN14	17q12	2.29	1.29	0.91	0.96	1.00	3.62e-7	5.686e-6	Altered group
CPQ	8q22.1	9.49	8.84	0.59	0.95	0.65	3.79e-7	5.942e-6	Altered group
ATXN7L1	7q22.3	7.63	7.10	0.48	0.78	0.53	3.79e-7	5.942e-6	Altered group
TCL1A	14q32.13	5.56	3.49	1.91	1.92	2.08	3.94e-7	6.171e-6	Altered group
KIF21B	1q32.1	8.91	7.97	0.86	1.07	0.94	4.00e-7	6.255e-6	Altered group
FOXO1	13q14.11	9.62	8.99	0.57	0.87	0.63	4.02e-7	6.283e-6	Altered group
SERINC1	6q22.31	12.24	11.89	0.32	0.52	0.35	4.02e-7	6.283e-6	Altered group
TSHZ3	19q12	7.82	6.99	0.76	1.05	0.83	4.03e-7	6.288e-6	Altered group
MYLK	3q21.1	11.47	10.63	0.77	1.07	0.84	4.04e-7	6.309e-6	Altered group
SLIT3	5q34-q35.1	9.29	8.04	1.14	1.58	1.25	4.08e-7	6.360e-6	Altered group
TMEM37	2q14.2	8.89	8.02	0.79	1.31	0.87	4.09e-7	6.370e-6	Altered group
SKAP2	7p15.2	10.60	10.21	0.35	0.77	0.40	4.12e-7	6.404e-6	Altered group
GNA13	17q24.1	11.21	10.80	0.38	0.51	0.41	4.13e-7	6.411e-6	Altered group
CHRNA6	8p11.21	2.75	1.77	0.90	1.01	0.98	4.19e-7	6.487e-6	Altered group
TTC24	1q22	3.21	1.86	1.25	1.32	1.36	4.35e-7	6.740e-6	Altered group
HMCN1	1q25.3-q31.1	9.86	8.82	0.95	1.40	1.04	4.36e-7	6.751e-6	Altered group
TP53INP1	8q22.1	11.08	10.39	0.64	0.88	0.69	4.41e-7	6.813e-6	Altered group
TNFSF13	17p13.1	10.95	10.28	0.61	0.84	0.66	4.41e-7	6.813e-6	Altered group
ZNF781	19q13.12	4.24	3.56	0.62	1.00	0.68	4.42e-7	6.829e-6	Altered group
FAM131B	7q34	5.27	4.33	0.86	0.98	0.93	4.48e-7	6.901e-6	Altered group
TMEM109	11q12.2	11.55	11.24	0.28	0.47	0.30	4.59e-7	7.064e-6	Altered group
ZFP36L2	2p21	12.27	11.63	0.59	0.73	0.64	4.61e-7	7.093e-6	Altered group
ZNF385A	12q13.13	10.26	9.54	0.66	0.80	0.71	4.61e-7	7.093e-6	Altered group
CHST2	3q24	9.04	8.29	0.68	1.29	0.75	4.63e-7	7.113e-6	Altered group
UAP1L1	9q34.3	8.72	8.15	0.51	0.85	0.56	4.63e-7	7.117e-6	Altered group
PAXIP1-AS2	7q36.2	6.59	6.09	0.46	0.68	0.50	4.64e-7	7.120e-6	Altered group
TMEM119	12q23.3	9.96	8.91	0.97	1.20	1.05	4.64e-7	7.120e-6	Altered group
SCPEP1	17q22	11.93	11.36	0.51	0.96	0.57	4.68e-7	7.172e-6	Altered group
IFIT2	10q23.31	9.36	8.62	0.69	1.07	0.75	4.74e-7	7.247e-6	Altered group
MEOX1	17q21.31	5.03	3.79	1.14	1.46	1.23	4.77e-7	7.279e-6	Altered group
IL32	16p13.3	11.86	11.08	0.72	1.14	0.78	4.83e-7	7.370e-6	Altered group
TGFBR2	3p24.1	12.31	11.65	0.60	0.86	0.65	4.89e-7	7.445e-6	Altered group
FCRL4	1q23.1	4.18	2.28	1.77	1.50	1.90	4.90e-7	7.462e-6	Altered group
RGS19	20q13.33	9.32	8.67	0.61	0.65	0.65	5.01e-7	7.610e-6	Altered group
KLHDC7B	22q13.33	7.70	6.32	1.28	1.46	1.38	5.01e-7	7.610e-6	Altered group
XRN1	3q23	10.20	9.71	0.46	0.53	0.49	5.03e-7	7.634e-6	Altered group
CASP10	2q33.1	9.89	9.44	0.41	0.76	0.45	5.08e-7	7.693e-6	Altered group
RAB29	1q32.1	9.47	9.00	0.43	0.73	0.47	5.12e-7	7.751e-6	Altered group
ARPC2	2q35	12.63	12.27	0.34	0.42	0.36	5.12e-7	7.751e-6	Altered group
CMTM7	3p22.3	9.63	9.07	0.52	0.82	0.56	5.16e-7	7.807e-6	Altered group
BTG2	1q32.1	12.06	11.22	0.77	1.18	0.83	5.17e-7	7.807e-6	Altered group
FAT4	4q28.1	8.71	7.81	0.83	1.31	0.90	5.26e-7	7.948e-6	Altered group
RABGAP1L	1q25.1	8.69	8.28	0.37	0.58	0.41	5.28e-7	7.965e-6	Altered group
CYP2U1	4q25	8.14	7.50	0.60	0.79	0.65	5.28e-7	7.967e-6	Altered group
XKR6	8p23.1	3.00	2.24	0.70	1.21	0.77	5.31e-7	7.988e-6	Altered group
FBXL3	13q22.3	10.20	9.79	0.38	0.54	0.41	5.31e-7	7.988e-6	Altered group
RAB42	1p35.3	6.55	5.65	0.84	1.12	0.90	5.38e-7	8.067e-6	Altered group
GTDC1	2q22.3	8.37	8.04	0.30	0.55	0.33	5.39e-7	8.071e-6	Altered group
BNC2	9p22.3-p22.2	7.73	6.87	0.80	1.14	0.86	5.40e-7	8.082e-6	Altered group
SIRPD	20p13	1.92	0.91	0.95	0.78	1.01	5.43e-7	8.122e-6	Altered group
DENND3	8q24.3	10.08	9.47	0.57	0.76	0.61	5.49e-7	8.200e-6	Altered group
ACP2	11p11.2	10.75	10.33	0.39	0.46	0.42	5.56e-7	8.303e-6	Altered group
DMXL2	15q21.2	10.05	9.28	0.72	0.67	0.77	5.62e-7	8.390e-6	Altered group
CAPG	2p11.2	12.71	11.90	0.76	0.82	0.82	5.63e-7	8.395e-6	Altered group
PAPLN	14q24.2	9.56	8.74	0.76	1.11	0.82	5.64e-7	8.400e-6	Altered group
MGAT4A	2q11.2	10.61	10.03	0.54	0.77	0.58	5.66e-7	8.422e-6	Altered group
ABHD6	3p14.3	7.71	7.16	0.51	0.69	0.55	5.66e-7	8.422e-6	Altered group
